Route,BTS_Avg_Fare,Total_Passengers,Origin,Dest,GF_Avg_Fare,Carriers_Available,Absolute_Change,Percent_Change,Impact_Level
DTW-MCO,130.25308823529411,10373.0,DTW,MCO,217.0,Frontier,86.74691176470589,66.6,High (30%+)
LAS-IAH,119.14445518453428,4611.0,LAS,IAH,179.0,Frontier,59.85554481546572,50.24,High (30%+)
PHL-MCO,106.6521825095057,5839.0,PHL,MCO,153.0,Frontier,46.34781749049429,43.46,High (30%+)
BWI-FLL,111.32914341336794,6835.0,BWI,FLL,148.0,Frontier,36.670856586632055,32.94,High (30%+)
LAS-DFW,111.05238918106687,5692.0,LAS,DFW,146.0,Frontier,34.94761081893313,31.47,High (30%+)
FLL-LAX,119.45166666666667,1114.0,FLL,LAX,153.0,JetBlue,33.54833333333333,28.09,Medium (20-30%)
LAS-ATL,129.13658723404254,2820.0,LAS,ATL,164.0,Frontier,34.86341276595746,27.0,Medium (20-30%)
FLL-DFW,117.05645859872612,4946.0,FLL,DFW,147.0,Frontier,29.943541401273876,25.58,Medium (20-30%)
LAS-LAX,68.1462747875354,5028.0,LAS,LAX,84.0,Frontier,15.853725212464596,23.26,Medium (20-30%)
DTW-FLL,135.68912554112555,7050.0,DTW,FLL,154.0,Delta,18.31087445887445,13.49,Moderate (10-20%)
MCO-ORD,127.54864130434783,4892.0,MCO,ORD,142.0,Frontier,14.451358695652175,11.33,Moderate (10-20%)
MCO-BWI,107.67084671532847,5182.0,MCO,BWI,115.0,Frontier,7.329153284671534,6.81,Low (<10%)
ORD-FLL,146.24328594860577,7511.0,ORD,FLL,149.0,United,2.7567140513942263,1.89,Low (<10%)
FLL-ORD,139.33055008685582,7284.0,FLL,ORD,134.0,United,-5.330550086855823,-3.83,Low (<10%)
MCO-LGA,115.96527938342967,5716.0,MCO,LGA,108.0,Frontier,-7.9652793834296745,-6.87,Low (<10%)
IAH-MCO,115.84344909234412,4390.0,IAH,MCO,99.0,Frontier,-16.843449092344116,-14.54,Low (<10%)
FLL-LGA,136.0495888324873,7928.0,FLL,LGA,99.0,Delta,-37.0495888324873,-27.23,Low (<10%)
FLL-ATL,96.94893617021276,9247.0,FLL,ATL,56.0,Frontier,-40.94893617021276,-42.24,Low (<10%)
IAH-FLL,119.69171934260429,5941.0,IAH,FLL,66.0,Frontier,-53.69171934260429,-44.86,Low (<10%)
ATL-FLL,95.01916250000001,9407.0,ATL,FLL,26.0,Frontier,-69.01916250000001,-72.64,Low (<10%)
