Route,BTS_Avg_Fare,Total_Passengers,Origin,Dest,JB_Avg_Fare,JB_Passengers,JB_Counterfactual,JB_Data_Source,GF_Avg_Fare,Carriers_Available,Percent_Change,JB_vs_Spirit_pct,Frontier_vs_Spirit_pct,Frontier_vs_JB_pct,Cheapest
ATL-FLL,95.01916250000001,9407.0,ATL,FLL,,,146.99,Estimated (+55%),26.0,Frontier,-72.64,54.7,-72.64,-82.3,Frontier actual
BWI-FLL,111.32914341336794,6835.0,BWI,FLL,,,172.22,Estimated (+55%),148.0,Frontier,32.94,54.7,32.94,-14.1,Spirit 2025
DTW-FLL,135.68912554112555,7050.0,DTW,FLL,97.72,3.0,97.72,Actual BTS,154.0,Delta,13.49,-28.0,13.49,57.6,JetBlue merger
DTW-MCO,130.25308823529411,10373.0,DTW,MCO,209.0,6.0,209.0,Actual BTS,217.0,Frontier,66.6,60.5,66.6,3.8,Spirit 2025
FLL-ATL,96.94893617021276,9247.0,FLL,ATL,,,149.98,Estimated (+55%),56.0,Frontier,-42.24,54.7,-42.24,-62.7,Frontier actual
FLL-DFW,117.05645859872612,4946.0,FLL,DFW,,,181.08,Estimated (+55%),147.0,Frontier,25.58,54.7,25.58,-18.8,Spirit 2025
FLL-LAX,119.45166666666667,1114.0,FLL,LAX,581.83,10686.0,184.79,Actual BTS (Mint — excluded from premium),153.0,JetBlue,28.09,54.7,28.09,-17.2,Spirit 2025
FLL-LGA,136.0495888324873,7928.0,FLL,LGA,236.26,8611.0,236.26,Actual BTS,99.0,Delta,-27.23,73.7,-27.23,-58.1,Frontier actual
FLL-ORD,139.33055008685582,7284.0,FLL,ORD,226.32,11.0,226.32,Actual BTS,134.0,United,-3.83,62.4,-3.83,-40.8,Frontier actual
IAH-FLL,119.69171934260429,5941.0,IAH,FLL,,,185.16,Estimated (+55%),66.0,Frontier,-44.86,54.7,-44.86,-64.4,Frontier actual
IAH-MCO,115.84344909234412,4390.0,IAH,MCO,,,179.2,Estimated (+55%),99.0,Frontier,-14.54,54.7,-14.54,-44.8,Frontier actual
LAS-ATL,129.13658723404254,2820.0,LAS,ATL,,,199.77,Estimated (+55%),164.0,Frontier,27.0,54.7,27.0,-17.9,Spirit 2025
LAS-DFW,111.05238918106687,5692.0,LAS,DFW,,,171.79,Estimated (+55%),146.0,Frontier,31.47,54.7,31.47,-15.0,Spirit 2025
LAS-IAH,119.14445518453428,4611.0,LAS,IAH,,,184.31,Estimated (+55%),179.0,Frontier,50.24,54.7,50.24,-2.9,Spirit 2025
LAS-LAX,68.1462747875354,5028.0,LAS,LAX,,,105.42,Estimated (+55%),84.0,Frontier,23.26,54.7,23.26,-20.3,Spirit 2025
MCO-BWI,107.67084671532847,5182.0,MCO,BWI,,,166.56,Estimated (+55%),115.0,Frontier,6.81,54.7,6.81,-31.0,Spirit 2025
MCO-LGA,115.96527938342967,5716.0,MCO,LGA,206.81,7406.0,206.81,Actual BTS,108.0,Frontier,-6.87,78.3,-6.87,-47.8,Frontier actual
MCO-ORD,127.54864130434783,4892.0,MCO,ORD,222.34,22.0,222.34,Actual BTS,142.0,Frontier,11.33,74.3,11.33,-36.1,Spirit 2025
ORD-FLL,146.24328594860577,7511.0,ORD,FLL,188.84,16.0,188.84,Actual BTS,149.0,United,1.89,29.1,1.89,-21.1,Spirit 2025
PHL-MCO,106.6521825095057,5839.0,PHL,MCO,199.67,12.0,199.67,Actual BTS,153.0,Frontier,43.46,87.2,43.46,-23.4,Spirit 2025
