YEAR,QUARTER,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,MARKET_FARE
2025,1,FLL,LGA,NK,1.0,5.5
2025,1,FLL,LGA,NK,1.0,5.5
2025,1,FLL,LGA,NK,1.0,5.53
2025,1,FLL,LGA,NK,1.0,14.57
2025,1,FLL,LGA,NK,1.0,15.0
2025,1,FLL,LGA,NK,1.0,15.0
2025,1,FLL,LGA,NK,1.0,16.5
2025,1,FLL,LGA,NK,1.0,17.5
2025,1,FLL,LGA,NK,1.0,19.0
2025,1,FLL,LGA,NK,1.0,19.5
2025,1,FLL,LGA,NK,1.0,20.0
2025,1,FLL,LGA,NK,1.0,21.0
2025,1,FLL,LGA,NK,1.0,21.0
2025,1,FLL,LGA,NK,1.0,21.5
2025,1,FLL,LGA,NK,1.0,23.0
2025,1,FLL,LGA,NK,1.0,23.5
2025,1,FLL,LGA,NK,1.0,24.0
2025,1,FLL,LGA,NK,1.0,24.5
2025,1,FLL,LGA,NK,1.0,24.5
2025,1,FLL,LGA,NK,1.0,24.77
2025,1,FLL,LGA,NK,1.0,25.0
2025,1,FLL,LGA,NK,1.0,26.0
2025,1,FLL,LGA,NK,1.0,26.0
2025,1,FLL,LGA,NK,1.0,27.0
2025,1,FLL,LGA,NK,1.0,27.74
2025,1,FLL,LGA,NK,1.0,28.0
2025,1,FLL,LGA,NK,1.0,29.0
2025,1,FLL,LGA,NK,1.0,29.5
2025,1,FLL,LGA,NK,1.0,29.94
2025,1,FLL,LGA,NK,1.0,30.5
2025,1,FLL,LGA,NK,1.0,30.66
2025,1,FLL,LGA,NK,1.0,31.0
2025,1,FLL,LGA,NK,1.0,31.5
2025,1,FLL,LGA,NK,1.0,32.0
2025,1,FLL,LGA,NK,1.0,33.5
2025,1,FLL,LGA,NK,1.0,33.5
2025,1,FLL,LGA,NK,1.0,34.5
2025,1,FLL,LGA,NK,1.0,35.17
2025,1,FLL,LGA,NK,1.0,35.18
2025,1,FLL,LGA,NK,1.0,35.41
2025,1,FLL,LGA,NK,1.0,36.23
2025,1,FLL,LGA,NK,1.0,36.5
2025,1,FLL,LGA,NK,1.0,37.3
2025,1,FLL,LGA,NK,1.0,38.27
2025,1,FLL,LGA,NK,1.0,39.2
2025,1,FLL,LGA,NK,1.0,39.5
2025,1,FLL,LGA,NK,1.0,39.54
2025,1,FLL,LGA,NK,1.0,40.13
2025,1,FLL,LGA,NK,1.0,40.54
2025,1,FLL,LGA,NK,1.0,40.71
2025,1,FLL,LGA,NK,1.0,41.12
2025,1,FLL,LGA,NK,1.0,42.72
2025,1,FLL,LGA,NK,1.0,43.22
2025,1,FLL,LGA,NK,1.0,43.55
2025,1,FLL,LGA,NK,1.0,43.59
2025,1,FLL,LGA,NK,1.0,43.61
2025,1,FLL,LGA,NK,1.0,44.23
2025,1,FLL,LGA,NK,1.0,44.91
2025,1,FLL,LGA,NK,1.0,45.58
2025,1,FLL,LGA,NK,1.0,46.21
2025,1,FLL,LGA,NK,1.0,46.24
2025,1,FLL,LGA,NK,1.0,46.57
2025,1,FLL,LGA,NK,1.0,49.62
2025,1,FLL,LGA,NK,1.0,49.77
2025,1,FLL,LGA,NK,1.0,50.03
2025,1,FLL,LGA,NK,1.0,50.35
2025,1,FLL,LGA,NK,1.0,50.5
2025,1,FLL,LGA,NK,1.0,50.76
2025,1,FLL,LGA,NK,1.0,52.05
2025,1,FLL,LGA,NK,1.0,52.27
2025,1,FLL,LGA,NK,1.0,52.5
2025,1,FLL,LGA,NK,1.0,54.4
2025,1,FLL,LGA,NK,1.0,55.28
2025,1,FLL,LGA,NK,1.0,55.98
2025,1,FLL,LGA,NK,1.0,56.05
2025,1,FLL,LGA,NK,1.0,56.3
2025,1,FLL,LGA,NK,1.0,56.48
2025,1,FLL,LGA,NK,1.0,56.5
2025,1,FLL,LGA,NK,1.0,56.92
2025,1,FLL,LGA,NK,1.0,57.0
2025,1,FLL,LGA,NK,1.0,57.86
2025,1,FLL,LGA,NK,1.0,58.0
2025,1,FLL,LGA,NK,1.0,58.29
2025,1,FLL,LGA,NK,1.0,58.8
