YEAR,QUARTER,ORIGIN,DEST,OPERATING_CARRIER,PASSENGERS,MARKET_FARE
2025,2,FLL,LGA,NK,1.0,4.68
2025,2,FLL,LGA,NK,1.0,5.53
2025,2,FLL,LGA,NK,1.0,16.0
2025,2,FLL,LGA,NK,1.0,19.6
2025,2,FLL,LGA,NK,1.0,21.0
2025,2,FLL,LGA,NK,1.0,21.5
2025,2,FLL,LGA,NK,1.0,23.0
2025,2,FLL,LGA,NK,1.0,23.5
2025,2,FLL,LGA,NK,1.0,23.94
2025,2,FLL,LGA,NK,1.0,25.0
2025,2,FLL,LGA,NK,1.0,25.5
2025,2,FLL,LGA,NK,1.0,26.0
2025,2,FLL,LGA,NK,1.0,27.0
2025,2,FLL,LGA,NK,1.0,27.5
2025,2,FLL,LGA,NK,1.0,28.0
2025,2,FLL,LGA,NK,1.0,28.5
2025,2,FLL,LGA,NK,1.0,28.5
2025,2,FLL,LGA,NK,1.0,30.0
2025,2,FLL,LGA,NK,1.0,30.0
2025,2,FLL,LGA,NK,1.0,31.0
2025,2,FLL,LGA,NK,1.0,31.63
2025,2,FLL,LGA,NK,1.0,32.0
2025,2,FLL,LGA,NK,1.0,32.5
2025,2,FLL,LGA,NK,1.0,32.67
2025,2,FLL,LGA,NK,1.0,33.0
2025,2,FLL,LGA,NK,1.0,33.5
2025,2,FLL,LGA,NK,1.0,34.0
2025,2,FLL,LGA,NK,1.0,35.0
2025,2,FLL,LGA,NK,1.0,35.18
2025,2,FLL,LGA,NK,1.0,36.0
2025,2,FLL,LGA,NK,1.0,36.5
2025,2,FLL,LGA,NK,1.0,37.0
2025,2,FLL,LGA,NK,1.0,37.0
2025,2,FLL,LGA,NK,1.0,39.0
2025,2,FLL,LGA,NK,1.0,40.0
2025,2,FLL,LGA,NK,1.0,40.44
2025,2,FLL,LGA,NK,1.0,40.71
2025,2,FLL,LGA,NK,1.0,40.86
2025,2,FLL,LGA,NK,1.0,40.96
2025,2,FLL,LGA,NK,1.0,41.5
2025,2,FLL,LGA,NK,1.0,42.0
